"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Total family income and characteristics of residential property owners by family type","46100051",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610005101",1;17;18,"CURRENT - a cube available to the public and that is current","Annual","2018-01-01","2020-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",3,""
"2","Sex of property owner",,""
"3","Family type",6,""
"4","Owner characteristics",4;5,""
"5","Estimates",13;14;17;18,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Cape Breton, Census agglomeration (CA)","[225]","2","1","",,
"1","Halifax, Census metropolitan area (CMA)","[205]","4","1","",,
"1","Kentville, Census agglomeration (CA)","[210]","6","1","",,
"1","New Glasgow, Census agglomeration (CA)","[220]","10","1","",,
"1","Truro, Census agglomeration (CA)","[215]","17","1","",,
"1","Outside of census metropolitan areas (CMAs) and census agglomerations (CAs), Nova Scotia","","21","1","",,
"1","Cape Breton, Regional municipality","[1217030]","3","2","",,
"1","Halifax, Regional municipality","[1209034]","5","4","",,
"1","Kentville, Town","[1207012]","7","6","",,
"1","Kings, Subd. B, Subdivision of county municipality","[1207016]","8","6","",,
"1","Kings, Subd. C, Subdivision of county municipality","[1207011]","9","6","",,
"1","New Glasgow, Town","[1212014]","11","10","",,
"1","Pictou, Subd. B, Subdivision of county municipality","[1212006]","12","10","",,
"1","Pictou, Subd. C, Subdivision of county municipality","[1212011]","13","10","",,
"1","Stellarton, Town","[1212009]","14","10","",,
"1","Trenton, Town","[1212016]","15","10","",,
"1","Westville, Town","[1212008]","16","10","",,
"1","Colchester, Subd. B, Subdivision of county municipality","[1210008]","18","17","",,
"1","Colchester, Subd. C, Subdivision of county municipality","[1210001]","19","17","",,
"1","Truro, Town","[1210006]","20","17","",,
"1","Amherst, Town","[1211011]","22","21","",,
"1","Annapolis Royal, Town","[1205008]","23","21","",,
"1","Annapolis, Subd. A, Subdivision of county municipality","[1205004]","24","21","",,
"1","Annapolis, Subd. B, Subdivision of county municipality","[1205009]","25","21","",,
"1","Annapolis, Subd. C, Subdivision of county municipality","[1205014]","26","21","",,
"1","Annapolis, Subd. D, Subdivision of county municipality","[1205001]","27","21","",,
"1","Antigonish, Subd. A, Subdivision of county municipality","[1214001]","28","21","",,
"1","Antigonish, Subd. B, Subdivision of county municipality","[1214006]","29","21","",,
"1","Antigonish, Town","[1214002]","30","21","",,
"1","Argyle, Municipal district","[1202001]","31","21","",,
"1","Barrington, Municipal district","[1201001]","32","21","",,
"1","Berwick, Town","[1207004]","33","21","",,
"1","Bridgewater, Town","[1206004]","34","21","",,
"1","Chester, Municipal district","[1206009]","35","21","",,
"1","Clare, Municipal district","[1203001]","36","21","",,
