"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Household spending, Canada, regions and provinces",11100222,203-0021,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110022201",3;4;6;7;11;14,"CURRENT - a cube available to the public and that is current",Annual,2010-01-01,2019-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Statistic,,
3,"Household expenditures, summary-level categories",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,10,
1,"Atlantic Region",[1],2,1,,,
1,"Newfoundland and Labrador",[10],3,2,,,
1,"Prince Edward Island",[11],4,2,,,
1,"Nova Scotia",[12],5,2,,,
1,"New Brunswick",[13],6,2,,,
1,Quebec,[24],7,1,,,
1,Ontario,[35],8,1,,,
1,"Prairie Region",[4],9,1,,,
1,Manitoba,[46],10,9,,,
1,Saskatchewan,[47],11,9,,,
1,Alberta,[48],12,9,,,
1,"British Columbia",[59],13,1,,,
2,"Average expenditure per household",,1,,,,
3,"Total expenditure",,1,,,,
3,"Total current consumption",,2,1,,,
3,"Food expenditures",,3,2,,,
3,"Food purchased from stores",,4,3,,,
3,"Food purchased from restaurants",,5,3,,,
3,Shelter,,6,2,,,
3,"Principal accommodation",,7,6,,,
3,"Rented living quarters",,8,7,,,
3,"Owned living quarters",,9,7,,,
3,"Water, fuel and electricity for principal accommodation",,10,7,,,
3,"Other accommodation",,11,6,,,
3,"Household operations",,12,2,,,
3,Communications,,13,12,,,
3,"Household furnishings and equipment",,14,2,,,
3,"Household furnishings",,15,14,,,
3,"Household equipment",,16,14,,,
3,"Household appliances",,17,16,,,
3,"Clothing and accessories",,18,2,,,
3,Transportation,,23,2,,,
3,"Private transportation",,24,23,,,
3,"Public transportation",,25,23,,,
3,"Health care",,26,2,,,
3,"Direct health care costs to household",,27,26,,,
3,"Health insurance premiums",,28,26,t,8,
3,"Personal care",,29,2,,,
3,Recreation,,30,2,,,
3,"Recreational equipment and related services",,31,30,,,
3,"Home entertainment equipment and services",,32,30,,,
3,"Recreational services",,33,30,,,
3,"Recreational vehicles and associated services",,34,30,,,
3,Education,,35,2,,,
3,"Reading materials and other printed matter",,36,2,,,
3,"Tobacco products and alcoholic beverages",,37,2,t,,
3,"Games of chance",,38,2,,,
3,"Miscellaneous expenditures",,39,2,,,
3,"Income taxes",,40,1,,8,
3,"Personal insurance payments and pension contributions",,41,1,,,
3,"Gifts of money, support payments and charitable contributions",,42,1,,,
3,"Bakery products",,43,4,,,
3,"Cereal grains and cereal products",,44,4,,,
3,"Fruit, fruit preparations and nuts",,45,4,,,
3,"Vegetables and vegetable preparations",,46,4,,,
3,"Dairy products and eggs",,47,4,,,
3,Meat,,48,4,,,
3,"Fish and seafood",,49,4,,,
3,"Non-alcoholic beverages and other food products",,50,4,,,
3,"Restaurant meals",,51,5,,,
3,"Restaurant snacks and beverages",,52,5,,,
3,Rent,,53,8,,,
3,"Tenants' repairs and improvements",,54,8,,,
3,"Tenants' insurance premiums",,55,8,,,
3,"Parking at rented living quarters (excluding amounts reported with rent)",,56,8,,,
3,"Mortgage paid for owned living quarters",,57,9,,,
3,"Repairs and maintenance for owned living quarters",,58,9,,15,
3,"Condominium fees for owned living quarters",,59,9,,,
